prev_position = 50, move = -40, position = 10, zero_count = 0
prev_position = 0, move = -83, position = -83, zero_count = 163
prev_position = -83, move = 36, position = -47, zero_count = 163
prev_position = -47, move = 47, position = 0, zero_count = 164
prev_position = 0, move = 34, position = 34, zero_count = 164
prev_position = 34, move = -34, position = 0, zero_count = 165
prev_position = 0, move = -16, position = -16, zero_count = 165
prev_position = -16, move = -8, position = -24, zero_count = 165
prev_position = -24, move = -69, position = -93, zero_count = 165
prev_position = -93, move = -66, position = -59, zero_count = 166
prev_position = -59, move = 28, position = -31, zero_count = 166
prev_position = -31, move = -9, position = -40, zero_count = 166
prev_position = -40, move = 23, position = -17, zero_count = 166
prev_position = -17, move = 358, position = 41, zero_count = 170
prev_position = 41, move = -41, position = 0, zero_count = 171
prev_position = 0, move = -95, position = -95, zero_count = 171
prev_position = -95, move = 95, position = 0, zero_count = 172
prev_position = 0, move = -672, position = -72, zero_count = 178
prev_position = -72, move = -656, position = -28, zero_count = 185
prev_position = -28, move = 289, position = 61, zero_count = 188
prev_position = 61, move = 44, position = 5, zero_count = 189
prev_position = 5, move = -5, position = 0, zero_count = 190
prev_position = 0, move = 707, position = 7, zero_count = 197
prev_position = 7, move = 93, position = 0, zero_count = 198
prev_position = 0, move = -32, position = -32, zero_count = 198
prev_position = -32, move = -43, position = -75, zero_count = 198
prev_position = -75, move = 88, position = 13, zero_count = 199
prev_position = 13, move = -61, position = -48, zero_count = 200
prev_position = -48, move = -52, position = 0, zero_count = 201
prev_position = 0, move = 6, position = 6, zero_count = 201
prev_position = 6, move = 585, position = 91, zero_count = 206
prev_position = 91, move = 38, position = 29, zero_count = 207
prev_position = 29, move = -29, position = 0, zero_count = 208
prev_position = 0, move = 441, position = 41, zero_count = 212
prev_position = 41, move = 959, position = 0, zero_count = 222
prev_position = 0, move = -42, position = -42, zero_count = 222
prev_position = -42, move = 708, position = 66, zero_count = 229
prev_position = 66, move = 51, position = 17, zero_count = 230
prev_position = 17, move = -58, position = -41, zero_count = 231
prev_position = -41, move = -59, position = 0, zero_count = 232
prev_position = 0, move = -54, position = -54, zero_count = 232
prev_position = -54, move = -61, position = -15, zero_count = 233
prev_position = -15, move = -85, position = 0, zero_count = 234
prev_position = 0, move = -47, position = -47, zero_count = 234
prev_position = -47, move = -453, position = 0, zero_count = 239
prev_position = 0, move = 45, position = 45, zero_count = 239
prev_position = 45, move = -64, position = -19, zero_count = 240
prev_position = -19, move = 57, position = 38, zero_count = 241
prev_position = 38, move = -13, position = 25, zero_count = 241
prev_position = 25, move = 56, position = 81, zero_count = 241
prev_position = 81, move = -81, position = 0, zero_count = 242
prev_position = 0, move = 41, position = 41, zero_count = 242
prev_position = 41, move = -43, position = -2, zero_count = 243
prev_position = -2, move = 54, position = 52, zero_count = 244
prev_position = 52, move = 47, position = 99, zero_count = 244
prev_position = 99, move = 1, position = 0, zero_count = 245
prev_position = 0, move = -43, position = -43, zero_count = 245
prev_position = -43, move = 943, position = 0, zero_count = 254
prev_position = 0, move = 90, position = 90, zero_count = 254
prev_position = 90, move = -48, position = 42, zero_count = 254
prev_position = 42, move = 80, position = 22, zero_count = 255
prev_position = 22, move = -70, position = -48, zero_count = 256
prev_position = -48, move = 37, position = -11, zero_count = 256
prev_position = -11, move = -85, position = -96, zero_count = 256
prev_position = -96, move = -403, position = -99, zero_count = 260
prev_position = -99, move = -71, position = -70, zero_count = 261
prev_position = -70, move = 70, position = 0, zero_count = 262
prev_position = 0, move = -667, position = -67, zero_count = 268
prev_position = -67, move = 856, position = 89, zero_count = 276
prev_position = 89, move = -89, position = 0, zero_count = 277
prev_position = 0, move = -31, position = -31, zero_count = 277
prev_position = -31, move = 21, position = -10, zero_count = 277
prev_position = -10, move = -207, position = -17, zero_count = 279
prev_position = -17, move = 17, position = 0, zero_count = 280
prev_position = 0, move = -27, position = -27, zero_count = 280
prev_position = -27, move = -16, position = -43, zero_count = 280
prev_position = -43, move = 11, position = -32, zero_count = 280
prev_position = -32, move = 74, position = 42, zero_count = 281
prev_position = 42, move = 405, position = 47, zero_count = 285
prev_position = 47, move = 53, position = 0, zero_count = 286
prev_position = 0, move = 41, position = 41, zero_count = 286
prev_position = 41, move = -59, position = -18, zero_count = 287
prev_position = -18, move = -48, position = -66, zero_count = 287
prev_position = -66, move = 33, position = -33, zero_count = 287
prev_position = -33, move = -8, position = -41, zero_count = 287
prev_position = -41, move = -59, position = 0, zero_count = 288
prev_position = 0, move = -55, position = -55, zero_count = 288
prev_position = -55, move = -45, position = 0, zero_count = 289
prev_position = 0, move = 51, position = 51, zero_count = 289
prev_position = 51, move = -15, position = 36, zero_count = 289
prev_position = 36, move = -136, position = 0, zero_count = 290
prev_position = 0, move = 5, position = 5, zero_count = 290
prev_position = 5, move = 1, position = 6, zero_count = 290
prev_position = 6, move = -18, position = -12, zero_count = 291
prev_position = -12, move = -88, position = 0, zero_count = 292
prev_position = 0, move = -41, position = -41, zero_count = 292
prev_position = -41, move = 19, position = -22, zero_count = 292
prev_position = -22, move = -73, position = -95, zero_count = 292
prev_position = -95, move = -25, position = -20, zero_count = 293
prev_position = -20, move = 20, position = 0, zero_count = 294
prev_position = 0, move = -13, position = -13, zero_count = 294
prev_position = -13, move = 42, position = 29, zero_count = 295
prev_position = 29, move = 41, position = 70, zero_count = 295
prev_position = 70, move = 468, position = 38, zero_count = 300
prev_position = 38, move = 62, position = 0, zero_count = 301
prev_position = 0, move = 8, position = 8, zero_count = 301
prev_position = 8, move = 85, position = 93, zero_count = 301
prev_position = 93, move = -41, position = 52, zero_count = 301
prev_position = 52, move = -52, position = 0, zero_count = 302
prev_position = 0, move = 87, position = 87, zero_count = 302
prev_position = 87, move = -87, position = 0, zero_count = 303
prev_position = 0, move = -29, position = -29, zero_count = 303
prev_position = -29, move = 929, position = 0, zero_count = 312
prev_position = 0, move = -12, position = -12, zero_count = 312
prev_position = -12, move = 22, position = 10, zero_count = 313
prev_position = 10, move = 25, position = 35, zero_count = 313
prev_position = 35, move = 58, position = 93, zero_count = 313
prev_position = 93, move = -54, position = 39, zero_count = 313
prev_position = 39, move = -72, position = -33, zero_count = 314
prev_position = -33, move = 733, position = 0, zero_count = 321
prev_position = 0, move = 612, position = 12, zero_count = 327
prev_position = 12, move = -99, position = -87, zero_count = 328
prev_position = -87, move = -1, position = -88, zero_count = 328
prev_position = -88, move = 86, position = -2, zero_count = 328
prev_position = -2, move = 43, position = 41, zero_count = 329
prev_position = 41, move = 28, position = 69, zero_count = 329
prev_position = 69, move = -669, position = 0, zero_count = 335
prev_position = 0, move = 25, position = 25, zero_count = 335
prev_position = 25, move = 153, position = 78, zero_count = 336
prev_position = 78, move = 81, position = 59, zero_count = 337
prev_position = 59, move = 41, position = 0, zero_count = 338
prev_position = 0, move = -19, position = -19, zero_count = 338
prev_position = -19, move = -69, position = -88, zero_count = 338
prev_position = -88, move = -12, position = 0, zero_count = 339
prev_position = 0, move = 40, position = 40, zero_count = 339
prev_position = 40, move = 171, position = 11, zero_count = 341
prev_position = 11, move = -15, position = -4, zero_count = 342
prev_position = -4, move = -73, position = -77, zero_count = 342
prev_position = -77, move = -301, position = -78, zero_count = 345
prev_position = -78, move = -22, position = 0, zero_count = 346
prev_position = 0, move = -47, position = -47, zero_count = 346
prev_position = -47, move = -68, position = -15, zero_count = 347
prev_position = -15, move = 32, position = 17, zero_count = 348
prev_position = 17, move = -17, position = 0, zero_count = 349
prev_position = 0, move = -89, position = -89, zero_count = 349
prev_position = -89, move = 89, position = 0, zero_count = 350
prev_position = 0, move = -13, position = -13, zero_count = 350
prev_position = -13, move = 13, position = 0, zero_count = 351
prev_position = 0, move = 833, position = 33, zero_count = 359
prev_position = 33, move = 29, position = 62, zero_count = 359
prev_position = 62, move = -36, position = 26, zero_count = 359
prev_position = 26, move = -79, position = -53, zero_count = 360
prev_position = -53, move = -751, position = -4, zero_count = 368
prev_position = -4, move = -6, position = -10, zero_count = 368
prev_position = -10, move = 54, position = 44, zero_count = 369
prev_position = 44, move = -54, position = -10, zero_count = 370
prev_position = -10, move = 17, position = 7, zero_count = 371
prev_position = 7, move = 993, position = 0, zero_count = 381
prev_position = 0, move = 49, position = 49, zero_count = 381
prev_position = 49, move = 51, position = 0, zero_count = 382
prev_position = 0, move = -31, position = -31, zero_count = 382
prev_position = -31, move = -69, position = 0, zero_count = 383
prev_position = 0, move = -95, position = -95, zero_count = 383
prev_position = -95, move = 37, position = -58, zero_count = 383
prev_position = -58, move = 567, position = 9, zero_count = 389
prev_position = 9, move = -53, position = -44, zero_count = 390
prev_position = -44, move = -79, position = -23, zero_count = 391
prev_position = -23, move = -77, position = 0, zero_count = 392
prev_position = 0, move = 70, position = 70, zero_count = 392
prev_position = 70, move = 832, position = 2, zero_count = 401
prev_position = 2, move = 46, position = 48, zero_count = 401
prev_position = 48, move = 13, position = 61, zero_count = 401
prev_position = 61, move = -43, position = 18, zero_count = 401
prev_position = 18, move = -823, position = -5, zero_count = 410
prev_position = -5, move = 4, position = -1, zero_count = 410
prev_position = -1, move = -99, position = 0, zero_count = 411
prev_position = 0, move = -358, position = -58, zero_count = 414
prev_position = -58, move = 29, position = -29, zero_count = 414
prev_position = -29, move = -268, position = -97, zero_count = 416
prev_position = -97, move = -71, position = -68, zero_count = 417
prev_position = -68, move = 660, position = 92, zero_count = 423
prev_position = 92, move = 81, position = 73, zero_count = 424
prev_position = 73, move = -973, position = 0, zero_count = 433
prev_position = 0, move = -92, position = -92, zero_count = 433
prev_position = -92, move = -79, position = -71, zero_count = 434
prev_position = -71, move = -62, position = -33, zero_count = 435
prev_position = -33, move = -75, position = -8, zero_count = 436
prev_position = -8, move = -92, position = 0, zero_count = 437
prev_position = 0, move = -38, position = -38, zero_count = 437
prev_position = -38, move = 38, position = 0, zero_count = 438
prev_position = 0, move = -79, position = -79, zero_count = 438
prev_position = -79, move = -616, position = -95, zero_count = 444
prev_position = -95, move = 60, position = -35, zero_count = 444
prev_position = -35, move = -65, position = 0, zero_count = 445
prev_position = 0, move = -39, position = -39, zero_count = 445
prev_position = -39, move = -19, position = -58, zero_count = 445
prev_position = -58, move = -161, position = -19, zero_count = 447
prev_position = -19, move = 19, position = 0, zero_count = 448
prev_position = 0, move = 70, position = 70, zero_count = 448
prev_position = 70, move = -70, position = 0, zero_count = 449
prev_position = 0, move = -74, position = -74, zero_count = 449
prev_position = -74, move = -34, position = -8, zero_count = 450
prev_position = -8, move = -92, position = 0, zero_count = 451
prev_position = 0, move = 61, position = 61, zero_count = 451
prev_position = 61, move = -61, position = 0, zero_count = 452
prev_position = 0, move = 19, position = 19, zero_count = 452
prev_position = 19, move = 99, position = 18, zero_count = 453
prev_position = 18, move = 82, position = 0, zero_count = 454
prev_position = 0, move = -717, position = -17, zero_count = 461
prev_position = -17, move = -8, position = -25, zero_count = 461
prev_position = -25, move = 31, position = 6, zero_count = 462
prev_position = 6, move = 511, position = 17, zero_count = 467
prev_position = 17, move = -17, position = 0, zero_count = 468
prev_position = 0, move = 134, position = 34, zero_count = 469
prev_position = 34, move = 43, position = 77, zero_count = 469
prev_position = 77, move = 62, position = 39, zero_count = 470
prev_position = 39, move = -28, position = 11, zero_count = 470
prev_position = 11, move = 89, position = 0, zero_count = 471
prev_position = 0, move = 10, position = 10, zero_count = 471
prev_position = 10, move = -27, position = -17, zero_count = 472
prev_position = -17, move = -42, position = -59, zero_count = 472
prev_position = -59, move = -99, position = -58, zero_count = 473
prev_position = -58, move = 537, position = 79, zero_count = 478
prev_position = 79, move = -179, position = 0, zero_count = 479
prev_position = 0, move = -19, position = -19, zero_count = 479
prev_position = -19, move = 319, position = 0, zero_count = 482
prev_position = 0, move = -87, position = -87, zero_count = 482
prev_position = -87, move = 36, position = -51, zero_count = 482
prev_position = -51, move = -49, position = 0, zero_count = 483
prev_position = 0, move = -97, position = -97, zero_count = 483
prev_position = -97, move = 25, position = -72, zero_count = 483
prev_position = -72, move = 999, position = 27, zero_count = 493
prev_position = 27, move = -27, position = 0, zero_count = 494
prev_position = 0, move = -509, position = -9, zero_count = 499
prev_position = -9, move = -55, position = -64, zero_count = 499
prev_position = -64, move = 64, position = 0, zero_count = 500
prev_position = 0, move = 62, position = 62, zero_count = 500
prev_position = 62, move = 38, position = 0, zero_count = 501
prev_position = 0, move = 96, position = 96, zero_count = 501
prev_position = 96, move = 4, position = 0, zero_count = 502
prev_position = 0, move = 813, position = 13, zero_count = 510
prev_position = 13, move = 123, position = 36, zero_count = 511
prev_position = 36, move = 63, position = 99, zero_count = 511
prev_position = 99, move = 1, position = 0, zero_count = 512
prev_position = 0, move = 67, position = 67, zero_count = 512
prev_position = 67, move = -457, position = -90, zero_count = 516
prev_position = -90, move = -94, position = -84, zero_count = 517
prev_position = -84, move = 21, position = -63, zero_count = 517
prev_position = -63, move = -76, position = -39, zero_count = 518
prev_position = -39, move = -46, position = -85, zero_count = 518
prev_position = -85, move = -432, position = -17, zero_count = 523
prev_position = -17, move = -22, position = -39, zero_count = 523
prev_position = -39, move = -5, position = -44, zero_count = 523
prev_position = -44, move = -47, position = -91, zero_count = 523
prev_position = -91, move = -46, position = -37, zero_count = 524
prev_position = -37, move = -23, position = -60, zero_count = 524
prev_position = -60, move = -44, position = -4, zero_count = 525
prev_position = -4, move = -96, position = 0, zero_count = 526
prev_position = 0, move = 32, position = 32, zero_count = 526
prev_position = 32, move = -32, position = 0, zero_count = 527
prev_position = 0, move = -265, position = -65, zero_count = 529
prev_position = -65, move = -868, position = -33, zero_count = 538
prev_position = -33, move = 233, position = 0, zero_count = 540
prev_position = 0, move = -47, position = -47, zero_count = 540
prev_position = -47, move = -53, position = 0, zero_count = 541
prev_position = 0, move = -53, position = -53, zero_count = 541
prev_position = -53, move = 69, position = 16, zero_count = 542
prev_position = 16, move = -16, position = 0, zero_count = 543
prev_position = 0, move = -226, position = -26, zero_count = 545
prev_position = -26, move = 86, position = 60, zero_count = 546
prev_position = 60, move = 873, position = 33, zero_count = 555
prev_position = 33, move = 590, position = 23, zero_count = 561
prev_position = 23, move = -80, position = -57, zero_count = 562
prev_position = -57, move = 11, position = -46, zero_count = 562
prev_position = -46, move = 10, position = -36, zero_count = 562
prev_position = -36, move = -49, position = -85, zero_count = 562
prev_position = -85, move = 85, position = 0, zero_count = 563
prev_position = 0, move = -172, position = -72, zero_count = 564
prev_position = -72, move = 32, position = -40, zero_count = 564
prev_position = -40, move = 1, position = -39, zero_count = 564
prev_position = -39, move = -84, position = -23, zero_count = 565
prev_position = -23, move = 23, position = 0, zero_count = 566
prev_position = 0, move = -12, position = -12, zero_count = 566
prev_position = -12, move = -97, position = -9, zero_count = 567
prev_position = -9, move = -90, position = -99, zero_count = 567
prev_position = -99, move = -89, position = -88, zero_count = 568
prev_position = -88, move = -12, position = 0, zero_count = 569
prev_position = 0, move = 95, position = 95, zero_count = 569
prev_position = 95, move = 30, position = 25, zero_count = 570
prev_position = 25, move = -79, position = -54, zero_count = 571
prev_position = -54, move = -756, position = -10, zero_count = 579
prev_position = -10, move = 88, position = 78, zero_count = 580
prev_position = 78, move = -178, position = 0, zero_count = 581
prev_position = 0, move = -23, position = -23, zero_count = 581
prev_position = -23, move = -37, position = -60, zero_count = 581
prev_position = -60, move = 69, position = 9, zero_count = 582
prev_position = 9, move = 391, position = 0, zero_count = 586
prev_position = 0, move = 953, position = 53, zero_count = 595
prev_position = 53, move = 47, position = 0, zero_count = 596
prev_position = 0, move = -29, position = -29, zero_count = 596
prev_position = -29, move = -17, position = -46, zero_count = 596
prev_position = -46, move = 95, position = 49, zero_count = 597
prev_position = 49, move = 51, position = 0, zero_count = 598
prev_position = 0, move = -41, position = -41, zero_count = 598
prev_position = -41, move = 21, position = -20, zero_count = 598
prev_position = -20, move = -62, position = -82, zero_count = 598
prev_position = -82, move = 63, position = -19, zero_count = 598
prev_position = -19, move = -89, position = -8, zero_count = 599
prev_position = -8, move = 633, position = 25, zero_count = 606
prev_position = 25, move = 18, position = 43, zero_count = 606
prev_position = 43, move = -43, position = 0, zero_count = 607
prev_position = 0, move = 18, position = 18, zero_count = 607
prev_position = 18, move = -12, position = 6, zero_count = 607
prev_position = 6, move = -975, position = -69, zero_count = 617
prev_position = -69, move = 538, position = 69, zero_count = 622
prev_position = 69, move = 56, position = 25, zero_count = 623
prev_position = 25, move = -35, position = -10, zero_count = 624
prev_position = -10, move = 6, position = -4, zero_count = 624
prev_position = -4, move = 64, position = 60, zero_count = 625
prev_position = 60, move = 46, position = 6, zero_count = 626
prev_position = 6, move = -34, position = -28, zero_count = 627
prev_position = -28, move = -126, position = -54, zero_count = 628
prev_position = -54, move = 344, position = 90, zero_count = 631
prev_position = 90, move = -84, position = 6, zero_count = 631
prev_position = 6, move = -93, position = -87, zero_count = 632
prev_position = -87, move = -78, position = -65, zero_count = 633
prev_position = -65, move = -488, position = -53, zero_count = 638
prev_position = -53, move = -74, position = -27, zero_count = 639
prev_position = -27, move = -907, position = -34, zero_count = 648
prev_position = -34, move = 34, position = 0, zero_count = 649
prev_position = 0, move = -904, position = -4, zero_count = 658
prev_position = -4, move = -85, position = -89, zero_count = 658
prev_position = -89, move = -74, position = -63, zero_count = 659
prev_position = -63, move = 63, position = 0, zero_count = 660
prev_position = 0, move = 99, position = 99, zero_count = 660
prev_position = 99, move = -99, position = 0, zero_count = 661
prev_position = 0, move = 261, position = 61, zero_count = 663
prev_position = 61, move = 45, position = 6, zero_count = 664
prev_position = 6, move = 94, position = 0, zero_count = 665
prev_position = 0, move = -645, position = -45, zero_count = 671
prev_position = -45, move = 43, position = -2, zero_count = 671
prev_position = -2, move = -50, position = -52, zero_count = 671
prev_position = -52, move = -47, position = -99, zero_count = 671
prev_position = -99, move = 177, position = 78, zero_count = 672
prev_position = 78, move = 683, position = 61, zero_count = 679
prev_position = 61, move = 70, position = 31, zero_count = 680
prev_position = 31, move = 78, position = 9, zero_count = 681
prev_position = 9, move = -9, position = 0, zero_count = 682
prev_position = 0, move = -668, position = -68, zero_count = 688
